,PS_C,PS_F,Vainqueur,Proba_Favori,Proba_Challenger
14351,2.38,1.67,challenger,0.5469551,0.4530449
14352,3.41,1.38,favori,0.77755415,0.22244585
14353,2.78,1.52,favori,0.68339705,0.31660295
14354,10.5,1.08,favori,0.75970376,0.24029624
14355,3.19,1.42,favori,0.76909995,0.23090005
14356,2.85,1.5,favori,0.63399655,0.36600345
14357,3.45,1.38,favori,0.71410793,0.28589207
14358,3.71,1.33,challenger,0.6604862,0.33951378
14359,2.61,1.57,favori,0.75763285,0.24236715
14360,4.08,1.29,favori,0.67711806,0.32288194
14361,2.22,1.75,favori,0.44335932,0.5566407
14362,3.23,1.41,favori,0.516119,0.483881
14363,2.03,1.9,favori,0.53669924,0.46330076
14364,2.79,1.51,favori,0.6840559,0.31594408
14365,1.44,3.07,favori,0.60750425,0.39249575
14366,2.25,1.74,challenger,0.6815063,0.31849372
14367,4.18,1.28,favori,0.801727,0.198273
14368,2.77,1.52,challenger,0.59631705,0.40368295
14369,2.95,1.47,favori,0.7054074,0.29459262
14370,2.26,1.73,challenger,0.5065177,0.4934823
14371,9.05,1.1,favori,0.84878945,0.15121055
14372,2.53,1.6,favori,0.49347046,0.50652957
14373,3.0,1.46,challenger,0.5071064,0.49289358
14374,5.62,1.19,challenger,0.7215241,0.27847588
14375,2.71,1.54,favori,0.59245586,0.40754414
14376,2.87,1.49,challenger,0.62253606,0.37746394
14377,2.55,1.6,challenger,0.5761738,0.42382622
14378,4.3,1.27,favori,0.72967696,0.27032304
14379,3.27,1.4,challenger,0.72171026,0.27828974
14380,2.19,1.78,challenger,0.5823881,0.4176119
14381,2.44,1.64,favori,0.5231619,0.4768381
14382,1.87,2.05,favori,0.52681047,0.47318953
14383,2.14,1.81,challenger,0.5125587,0.4874413
14384,2.97,1.47,favori,0.4874837,0.51251626
14385,2.78,1.52,favori,0.5500077,0.4499923
14386,2.83,1.5,favori,0.75016284,0.24983716
14387,2.63,1.56,favori,0.5047223,0.4952777
14388,3.06,1.44,challenger,0.5077344,0.49226558
14389,2.56,1.59,favori,0.6012049,0.39879513
14390,4.3,1.27,favori,0.75169456,0.24830544
14391,2.56,1.58,challenger,0.7092148,0.2907852
14392,4.96,1.22,favori,0.7326453,0.26735473
14393,2.9,1.48,favori,0.68990946,0.31009054
14394,2.3,1.71,challenger,0.545754,0.45424598
14395,3.93,1.31,favori,0.6434691,0.3565309
14396,5.77,1.18,favori,0.7727808,0.22721922
14397,4.48,1.26,favori,0.70672154,0.29327846
14398,3.75,1.33,favori,0.67337644,0.32662356
14399,7.29,1.13,favori,0.80451155,0.19548845
14400,3.55,1.35,challenger,0.52524614,0.47475386
14401,2.68,1.55,challenger,0.5614635,0.43853652
14402,3.84,1.32,challenger,0.7060515,0.29394847
14403,1.58,2.58,challenger,0.5007012,0.4992988
14404,3.02,1.45,favori,0.6265347,0.3734653
14405,2.59,1.58,favori,0.71325517,0.28674483
14406,3.52,1.36,favori,0.7099725,0.2900275
14407,6.29,1.16,favori,0.80640996,0.19359004
14408,2.26,1.73,favori,0.4858756,0.5141244
14409,3.19,1.42,favori,0.68170774,0.31829226
14410,7.84,1.13,favori,0.84380794,0.15619206
14411,10.09,1.09,favori,0.8559473,0.14405268
14412,1.93,2.0,challenger,0.50927794,0.49072206
14413,8.25,1.11,challenger,0.7762115,0.2237885
14414,2.42,1.65,favori,0.5899155,0.4100845
14415,6.92,1.14,favori,0.83525676,0.16474324
14416,3.97,1.3,favori,0.7056394,0.29436058
14417,2.16,1.79,favori,0.54673547,0.45326453
14418,2.46,1.63,challenger,0.61919266,0.38080734
14419,2.7,1.54,challenger,0.745577,0.25442302
14420,4.14,1.28,challenger,0.7486632,0.2513368
14421,2.38,1.67,favori,0.6533712,0.3466288
14422,1.96,1.96,favori,0.49472916,0.50527084
14423,3.03,1.45,favori,0.7117233,0.28827667
14424,7.36,1.13,favori,0.8448656,0.15513438
14425,6.28,1.16,favori,0.7748755,0.22512448
14426,2.41,1.65,favori,0.5619139,0.4380861
14427,1.4,3.26,challenger,0.3437763,0.6562237
14428,2.88,1.49,favori,0.725848,0.27415198
14429,3.49,1.36,favori,0.71118987,0.28881013
14430,1.53,2.73,favori,0.5039049,0.49609512
14431,4.98,1.22,favori,0.8004456,0.19955438
14432,3.46,1.38,favori,0.745624,0.254376
14433,2.33,1.69,favori,0.5435532,0.45644683
14434,1.85,2.08,challenger,0.4816628,0.5183372
14435,8.36,1.11,favori,0.8885218,0.11147821
14436,2.0,1.93,favori,0.43858084,0.5614191
14437,11.5,1.07,favori,0.8161985,0.18380147
14438,3.77,1.33,challenger,0.6724054,0.32759458
14439,1.54,2.69,challenger,0.47129163,0.52870834
14440,9.05,1.1,favori,0.7921674,0.20783257
14441,4.27,1.27,favori,0.75825214,0.24174786
14442,4.72,1.24,favori,0.7329922,0.26700783
14443,2.65,1.56,challenger,0.51176417,0.48823583
14444,4.64,1.24,challenger,0.68984044,0.31015956
14445,2.69,1.54,favori,0.58316964,0.41683036
14446,2.02,1.9,challenger,0.73244697,0.26755303
14447,5.63,1.19,favori,0.7812176,0.21878242
14448,4.27,1.27,favori,0.7621505,0.23784947
14449,3.88,1.31,favori,0.7237265,0.2762735
14450,3.75,1.33,favori,0.5489713,0.4510287
14451,2.59,1.58,challenger,0.55525273,0.44474727
14452,2.4,1.66,challenger,0.681772,0.318228
14453,2.14,1.81,challenger,0.52558166,0.47441834
14454,3.88,1.31,favori,0.5660206,0.4339794
14455,2.25,1.74,challenger,0.7115009,0.28849912
14456,3.36,1.37,favori,0.732803,0.267197
14457,5.94,1.17,favori,0.72635055,0.27364945
14458,1.53,2.73,challenger,0.52984285,0.47015715
14459,3.2,1.41,favori,0.74104285,0.25895715
14460,1.56,2.64,favori,0.43438315,0.56561685
14461,2.61,1.57,challenger,0.541746,0.45825398
14462,5.48,1.19,favori,0.7201525,0.2798475
14463,1.86,2.06,favori,0.56659013,0.43340987
14464,1.36,3.55,challenger,0.38554668,0.6144533
14465,3.38,1.38,favori,0.6623449,0.33765513
14466,7.87,1.13,favori,0.816288,0.183712
14467,3.17,1.42,favori,0.6977097,0.30229032
14468,1.81,2.14,challenger,0.6730591,0.3269409
14469,3.74,1.33,favori,0.77106965,0.22893035
14470,8.36,1.11,favori,0.830624,0.16937602
14471,1.72,2.27,challenger,0.4450831,0.55491686
14472,6.95,1.14,favori,0.76548994,0.23451006
14473,2.5,1.61,favori,0.56908625,0.43091375
14474,3.31,1.39,favori,0.70416135,0.29583865
14475,2.97,1.47,favori,0.5663556,0.4336444
14476,13.0,1.06,favori,0.82990116,0.17009884
14477,1.69,2.34,challenger,0.5122877,0.48771232
14478,2.52,1.61,favori,0.6048371,0.39516288
14479,4.3,1.27,favori,0.7585801,0.24141991
14480,1.42,3.18,challenger,0.42689076,0.57310927
14481,4.47,1.26,favori,0.7360314,0.2639686
14482,5.33,1.2,challenger,0.81376624,0.18623376
14483,2.18,1.78,challenger,0.68216366,0.31783634
14484,1.87,2.05,favori,0.5182072,0.4817928
14485,2.21,1.76,challenger,0.62694323,0.37305677
14486,7.76,1.12,favori,0.7682009,0.23179913
14487,3.29,1.4,challenger,0.6899578,0.3100422
14488,2.61,1.57,favori,0.74483097,0.25516903
14489,5.26,1.21,challenger,0.75114226,0.24885774
14490,1.8,2.15,favori,0.5818817,0.4181183
14491,1.75,2.23,challenger,0.4455564,0.5544436
14492,7.1,1.14,favori,0.6908282,0.3091718
14493,3.62,1.34,favori,0.7209654,0.2790346
14494,4.6,1.25,favori,0.75820965,0.24179035
14495,2.8,1.51,favori,0.5256607,0.4743393
14496,2.12,1.82,favori,0.6348527,0.3651473
14497,1.33,3.7,favori,0.38678932,0.6132107
14498,1.85,2.09,favori,0.61465704,0.38534296
14499,3.88,1.31,favori,0.70027506,0.29972494
14500,4.82,1.23,favori,0.6456841,0.35431588
14501,5.01,1.22,favori,0.82635045,0.17364955
14502,2.92,1.48,favori,0.71155506,0.28844494
14503,2.74,1.53,favori,0.6786359,0.3213641
14504,3.18,1.42,favori,0.67108655,0.32891345
14505,1.69,2.33,challenger,0.5116755,0.48832452
14506,1.79,2.12,favori,0.4810701,0.5189299
14507,2.33,1.67,favori,0.58396804,0.41603196
14508,11.28,1.06,favori,0.86542183,0.13457817
14509,4.96,1.21,favori,0.7364663,0.2635337
14510,2.13,1.79,favori,0.45275435,0.5472456
14511,5.18,1.2,favori,0.72440755,0.27559245
14512,3.29,1.37,challenger,0.70794564,0.29205436
14513,2.44,1.61,favori,0.5415235,0.45847648
14514,2.59,1.56,favori,0.5200945,0.4799055
14515,3.82,1.3,challenger,0.7631047,0.23689532
14516,3.1,1.41,favori,0.72885674,0.27114326
14517,2.15,1.78,favori,0.5023814,0.49761862
14518,1.91,1.98,favori,0.47638315,0.52361685
14519,2.54,1.57,challenger,0.59120697,0.40879303
14520,8.93,1.09,favori,0.76338494,0.23661506
14521,3.38,1.36,favori,0.598831,0.401169
14522,2.99,1.44,favori,0.6633319,0.33666807
14523,1.57,2.55,favori,0.49896094,0.501039
14524,3.95,1.29,favori,0.82159376,0.17840624
14525,1.34,3.54,challenger,0.44153786,0.55846214
14526,2.76,1.5,favori,0.61766493,0.38233507
14527,31.0,1.01,favori,0.9709102,0.029089808
14528,3.09,1.42,favori,0.68426865,0.31573135
14529,2.48,1.6,favori,0.67739934,0.32260066
14530,5.22,1.19,favori,0.7799326,0.22006738
14531,9.94,1.08,favori,0.91830814,0.08169186
14532,5.32,1.19,favori,0.69893724,0.30106276
14533,3.96,1.29,favori,0.8793876,0.12061238
14534,1.53,2.67,challenger,0.519048,0.48095202
14535,3.07,1.42,favori,0.7173639,0.2826361
14536,3.31,1.38,challenger,0.66823995,0.33176005
