,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
26228,4.18,1.27,favori,favori,0.12512863,0.8748714
26229,3.04,1.45,favori,favori,0.23538011,0.7646199
26230,2.15,1.8,favori,favori,0.48950142,0.5104986
26231,2.47,1.63,challenger,favori,0.40559745,0.59440255
26232,1.65,2.42,challenger,challenger,0.59836024,0.40163976
26233,2.13,1.82,challenger,favori,0.36425608,0.6357439
26234,3.8,1.32,challenger,favori,0.3409245,0.6590755
26235,2.55,1.6,favori,favori,0.41146314,0.58853686
26236,2.27,1.72,challenger,challenger,0.5921181,0.40788192
26237,2.48,1.62,challenger,favori,0.46853477,0.53146523
26238,2.2,1.77,challenger,favori,0.45780796,0.54219204
26239,2.76,1.52,favori,favori,0.41526031,0.5847397
26240,3.13,1.43,favori,favori,0.34513706,0.65486294
26241,2.19,1.76,favori,favori,0.36123908,0.6387609
26242,1.63,2.44,favori,favori,0.38770187,0.61229813
26243,1.38,3.35,challenger,challenger,0.55997026,0.44002977
26244,4.01,1.29,challenger,favori,0.09561622,0.9043838
26245,2.06,1.85,challenger,favori,0.36434335,0.63565665
26246,3.73,1.32,favori,favori,0.1744557,0.8255443
26247,4.69,1.23,favori,favori,0.07861388,0.9213861
26248,3.97,1.29,favori,favori,0.275949,0.724051
26249,9.87,1.08,favori,favori,0.075772345,0.92422765
26250,11.52,1.07,favori,favori,0.071148455,0.92885154
26251,2.52,1.59,favori,favori,0.47491616,0.52508384
26252,13.44,1.05,favori,favori,0.07956684,0.92043316
26253,15.91,1.04,favori,favori,0.056363463,0.94363654
26254,29.16,1.01,favori,favori,0.016856372,0.9831436
26255,1.92,1.99,challenger,favori,0.48568273,0.5143173
26256,1.97,1.93,challenger,favori,0.46498632,0.5350137
26257,4.93,1.22,favori,favori,0.2944827,0.7055173
26258,1.17,5.83,favori,challenger,0.6330801,0.36691985
26259,1.72,2.25,challenger,favori,0.43446714,0.56553286
26260,8.36,1.11,favori,favori,0.10933721,0.8906628
26261,3.81,1.31,favori,favori,0.28673667,0.71326333
26262,2.5,1.6,challenger,favori,0.2960621,0.7039379
26263,3.23,1.4,favori,favori,0.4999137,0.5000863
26264,3.14,1.42,challenger,favori,0.2631424,0.7368576
26265,8.67,1.1,favori,favori,0.085274816,0.9147252
26266,7.65,1.12,favori,favori,0.07900506,0.92099494
26267,2.56,1.58,favori,favori,0.31314063,0.68685937
26268,3.08,1.43,favori,favori,0.353162,0.646838
26269,1.94,1.96,challenger,favori,0.40170813,0.5982919
26270,2.66,1.54,challenger,favori,0.27482986,0.72517014
26271,3.89,1.3,favori,favori,0.15176278,0.8482372
26272,2.75,1.51,challenger,favori,0.31470025,0.68529975
26273,1.23,4.77,challenger,favori,0.48083097,0.51916903
26274,2.32,1.68,challenger,favori,0.46972394,0.53027606
26275,3.85,1.31,favori,favori,0.27922404,0.72077596
26276,22.73,1.02,favori,favori,0.06128508,0.9387149
26277,12.02,1.06,favori,favori,0.031420887,0.9685791
26278,1.78,2.16,favori,favori,0.42889208,0.5711079
26279,8.36,1.11,favori,favori,0.24673718,0.7532628
26280,2.79,1.5,favori,favori,0.3579505,0.6420495
26281,3.36,1.38,favori,favori,0.15498972,0.8450103
26282,3.14,1.42,challenger,challenger,0.58787835,0.41212168
26283,4.3,1.26,challenger,favori,0.2283374,0.7716626
26284,4.65,1.24,favori,favori,0.22498035,0.77501965
26285,5.42,1.19,favori,favori,0.14768732,0.8523127
26286,2.01,1.9,favori,favori,0.4350704,0.5649296
26287,17.76,1.03,favori,favori,0.10628581,0.8937142
26288,7.38,1.13,favori,favori,0.18207562,0.8179244
26289,1.56,2.62,challenger,favori,0.27551353,0.7244865
26290,15.91,1.04,favori,favori,0.09932518,0.9006748
26291,3.63,1.34,favori,favori,0.2222113,0.7777887
26292,3.83,1.31,favori,favori,0.16593045,0.83406955
26293,3.89,1.3,favori,favori,0.2245189,0.7754811
26294,27.22,1.01,favori,favori,0.017484784,0.9825152
26295,10.44,1.08,favori,favori,0.2482037,0.7517963
26296,3.74,1.32,favori,favori,0.2030083,0.7969917
26297,5.24,1.2,challenger,favori,0.21106356,0.78893644
26298,8.67,1.1,challenger,favori,0.16650987,0.83349013
26299,2.4,1.65,challenger,favori,0.40813833,0.59186167
26300,3.03,1.44,challenger,favori,0.26619643,0.7338036
26301,4.77,1.23,favori,favori,0.33630008,0.6636999
26302,4.22,1.27,favori,favori,0.17802262,0.8219774
26303,5.46,1.19,favori,favori,0.17754108,0.8224589
26304,2.95,1.46,challenger,favori,0.30036515,0.69963485
26305,14.32,1.05,favori,favori,0.10452664,0.89547336
26306,3.01,1.44,favori,favori,0.37339813,0.6266019
26307,9.94,1.08,favori,favori,0.088377595,0.9116224
26308,17.82,1.03,favori,favori,0.053431094,0.9465689
26309,4.85,1.22,favori,favori,0.28811485,0.71188515
26310,8.67,1.1,favori,favori,0.17206609,0.8279339
26311,3.85,1.31,favori,favori,0.150922,0.849078
