,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
12926,2.6,1.575,favori,favori,0.23773754,0.76226246
12927,1.758,2.22,challenger,favori,0.3977462,0.6022538
12928,3.28,1.4,favori,favori,0.37318385,0.62681615
12929,2.2,1.769,favori,favori,0.48165387,0.51834613
12930,2.98,1.461,challenger,favori,0.48810655,0.51189345
12931,1.654,2.41,challenger,favori,0.48959374,0.51040626
12932,1.5,2.83,challenger,challenger,0.58533204,0.414668
12933,2.8,1.51,favori,favori,0.27294713,0.72705287
12934,3.28,1.398,favori,favori,0.38904214,0.61095786
12935,1.581,2.58,challenger,challenger,0.5219126,0.47808743
12936,3.48,1.366,challenger,favori,0.17139953,0.82860047
12937,3.13,1.429,favori,favori,0.30676234,0.69323766
12938,46.0,1.014,favori,favori,0.098935306,0.9010647
12939,4.88,1.227,favori,favori,0.1356746,0.8643254
12940,6.77,1.147,challenger,favori,0.28682005,0.71317995
12941,3.68,1.337,favori,favori,0.463915,0.536085
12942,2.92,1.476,favori,favori,0.28288227,0.7171177
12943,9.6,1.091,favori,favori,0.11594844,0.88405156
12944,3.52,1.36,favori,favori,0.3929224,0.6070776
12945,12.5,1.063,favori,favori,0.2185238,0.7814762
12946,4.22,1.278,challenger,favori,0.31608868,0.6839113
12947,4.56,1.249,favori,favori,0.36821097,0.631789
12948,1.61,2.51,challenger,favori,0.48530614,0.51469386
12949,1.855,2.08,challenger,challenger,0.5890876,0.41091236
12950,2.94,1.472,favori,favori,0.23627216,0.76372784
12951,1.278,4.22,challenger,challenger,0.5959171,0.40408292
12952,2.01,1.917,favori,challenger,0.5072703,0.49272972
12953,3.06,1.444,challenger,favori,0.2798503,0.7201497
12954,66.0,1.01,favori,favori,0.11381787,0.8861821
12955,3.56,1.3530000000000002,favori,favori,0.33498377,0.66501623
12956,9.05,1.1,favori,favori,0.22800183,0.77199817
12957,2.75,1.524,favori,favori,0.18359488,0.8164051
12958,4.05,1.294,favori,favori,0.3337295,0.6662705
12959,2.98,1.461,challenger,favori,0.33777744,0.66222256
12960,8.88,1.103,favori,favori,0.23402476,0.76597524
12961,9.05,1.1,favori,favori,0.28853244,0.71146756
12962,1.7,2.3,favori,challenger,0.53532153,0.46467847
12963,1.64,2.42,challenger,favori,0.39063185,0.60936815
12964,2.05,1.86,challenger,favori,0.49768925,0.50231075
12965,2.14,1.81,challenger,challenger,0.58979774,0.4102023
12966,9.1,1.11,favori,favori,0.18338072,0.8166193
12967,1.52,2.74,challenger,favori,0.42516446,0.57483554
12968,3.21,1.41,favori,favori,0.29906887,0.70093113
12969,2.9,1.48,favori,favori,0.37534392,0.6246561
12970,1.83,2.11,favori,favori,0.4552318,0.5447682
12971,3.23,1.4,challenger,favori,0.36514223,0.6348578
12972,1.51,2.79,challenger,challenger,0.63891333,0.36108667
12973,6.73,1.15,favori,favori,0.18997425,0.81002575
12974,3.83,1.31,favori,favori,0.20567489,0.7943251
12975,3.97,1.3,challenger,favori,0.29526198,0.704738
12976,3.63,1.35,favori,favori,0.26413625,0.73586375
12977,3.31,1.39,favori,favori,0.2740261,0.7259739
12978,5.91,1.18,favori,favori,0.22615069,0.7738493
12979,2.13,1.82,favori,favori,0.19695508,0.8030449
12980,3.91,1.31,favori,favori,0.18759191,0.8124081
12981,3.6,1.34,challenger,favori,0.29755008,0.7024499
12982,3.78,1.33,challenger,favori,0.196648,0.803352
12983,3.19,1.42,challenger,favori,0.41472542,0.5852746
12984,1.67,2.39,favori,favori,0.33549076,0.66450924
12985,3.01,1.45,favori,favori,0.37503624,0.62496376
12986,3.88,1.31,favori,favori,0.24367833,0.75632167
12987,1.62,2.52,challenger,challenger,0.6148844,0.3851156
12988,8.36,1.11,challenger,favori,0.10552955,0.89447045
12989,2.11,1.83,favori,favori,0.39731157,0.60268843
12990,3.57,1.35,favori,favori,0.15530163,0.84469837
