,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
27965,2.03,1.88,favori,favori,0.43103468,0.5689653
27966,3.54,1.35,favori,favori,0.20549989,0.7945001
27967,1.42,3.14,favori,challenger,0.6043094,0.39569062
27968,4.22,1.27,favori,favori,0.18195873,0.81804127
27969,8.98,1.1,favori,favori,0.16385025,0.83614975
27970,1.88,2.03,challenger,favori,0.4624142,0.5375858
27971,2.94,1.46,challenger,favori,0.26120085,0.73879915
27972,3.78,1.32,favori,favori,0.34057534,0.65942466
27973,3.31,1.38,favori,favori,0.23828882,0.7617112
27974,4.14,1.28,favori,favori,0.4771402,0.5228598
27975,9.28,1.09,favori,favori,0.14375877,0.8562412
27976,2.6,1.56,favori,favori,0.27452105,0.72547895
27977,1.88,2.02,challenger,challenger,0.53214926,0.46785074
27978,4.73,1.23,favori,favori,0.31742328,0.6825767
27979,6.21,1.16,favori,favori,0.328573,0.671427
27980,8.67,1.1,favori,favori,0.109693825,0.8903062
27981,12.02,1.06,favori,favori,0.110673845,0.88932616
27982,1.27,4.18,challenger,challenger,0.5682047,0.4317953
27983,4.73,1.23,challenger,favori,0.099310935,0.90068907
27984,1.77,2.18,challenger,favori,0.3998587,0.6001413
27985,2.59,1.57,favori,favori,0.3908198,0.6091802
27986,5.8,1.17,favori,favori,0.18810159,0.8118984
27987,25.86,1.01,favori,favori,0.027728677,0.9722713
27988,4.65,1.24,favori,favori,0.2569421,0.7430579
27989,4.46,1.25,favori,favori,0.19828933,0.80171067
27990,6.94,1.14,favori,favori,0.23878026,0.76121974
27991,2.34,1.68,favori,favori,0.39541632,0.6045837
27992,1.09,9.55,challenger,favori,0.4409244,0.5590756
27993,2.34,1.68,challenger,challenger,0.5244114,0.47558862
27994,1.88,2.03,challenger,favori,0.49794716,0.50205284
27995,1.54,2.67,favori,challenger,0.5252764,0.47472355
27996,4.55,1.24,favori,favori,0.21972376,0.78027624
27997,4.77,1.23,challenger,favori,0.21295929,0.7870407
27998,2.46,1.62,challenger,favori,0.33317542,0.6668246
27999,3.77,1.32,favori,favori,0.29562736,0.70437264
28000,5.42,1.19,favori,favori,0.16778839,0.8322116
28001,5.54,1.19,challenger,favori,0.08672124,0.91327876
28002,6.04,1.16,favori,favori,0.13142699,0.868573
28003,1.94,1.96,favori,favori,0.39359426,0.60640574
28004,16.99,1.04,favori,favori,0.10821545,0.89178455
28005,2.12,1.81,favori,favori,0.42408615,0.57591385
28006,2.28,1.71,favori,favori,0.47851288,0.5214871
28007,15.92,1.04,favori,favori,0.07485318,0.9251468
28008,1.57,2.58,challenger,challenger,0.54816,0.45183998
28009,1.88,2.03,challenger,favori,0.38684356,0.61315644
28010,16.64,1.04,favori,favori,0.025863945,0.97413605
28011,7.05,1.13,favori,favori,0.1979717,0.8020283
28012,4.14,1.28,challenger,favori,0.28641856,0.71358144
28013,2.67,1.54,favori,favori,0.21551079,0.7844892
28014,1.6,2.5,favori,challenger,0.647951,0.352049
28015,1.81,2.11,challenger,favori,0.47584915,0.52415085
28016,1.8,2.13,challenger,challenger,0.566495,0.433505
28017,4.54,1.24,challenger,favori,0.14495575,0.85504425
28018,5.31,1.2,favori,favori,0.19944006,0.80055994
28019,2.47,1.61,favori,favori,0.3451615,0.6548385
28020,9.28,1.09,challenger,favori,0.13476098,0.865239
28021,3.97,1.29,challenger,favori,0.22232461,0.7776754
28022,14.32,1.05,favori,favori,0.07002026,0.92997974
28023,5.8,1.17,favori,favori,0.22967517,0.7703248
28024,3.52,1.35,favori,favori,0.2665679,0.7334321
28025,1.83,2.09,favori,favori,0.36355227,0.6364477
28026,4.85,1.22,favori,favori,0.15314329,0.8468567
28027,4.07,1.28,favori,favori,0.27626878,0.7237312
28028,8.36,1.11,challenger,favori,0.1765536,0.8234464
28029,1.72,2.26,challenger,favori,0.49689656,0.50310344
28030,16.64,1.04,favori,favori,0.032839,0.967161
28031,1.4,3.22,challenger,challenger,0.56841195,0.43158805
28032,7.88,1.11,favori,favori,0.16632152,0.8336785
28033,2.02,1.89,favori,favori,0.3326049,0.6673951
