,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
15954,1.568,2.66,challenger,favori,0.4552306300874284,0.5447693699125716
15955,1.213,5.3,favori,favori,0.287900612171408,0.7120993878285921
15956,1.286,4.2,favori,challenger,0.5595279416869142,0.4404720583130857
15957,1.307,3.96,favori,favori,0.24712930604093858,0.7528706939590614
15958,1.218,5.18,favori,challenger,0.5595279416869142,0.4404720583130857
15959,1.543,2.74,favori,favori,0.39772357723577234,0.6022764227642277
15960,1.331,3.72,challenger,favori,0.36024844720496896,0.639751552795031
15961,1.446,3.04,challenger,favori,0.39772357723577234,0.6022764227642277
15962,1.51,2.81,favori,favori,0.4552306300874284,0.5447693699125716
15963,1.465,2.95,challenger,favori,0.287900612171408,0.7120993878285921
15964,1.585,2.61,favori,favori,0.21658986175115208,0.783410138248848
15965,2.26,1.735,favori,favori,0.24712930604093858,0.7528706939590614
15966,1.3,4.03,favori,favori,0.034578146611341634,0.9654218533886584
15967,1.125,8.2,favori,favori,0.24712930604093858,0.7528706939590614
15968,1.42,3.18,favori,favori,0.39772357723577234,0.6022764227642277
15969,1.138,7.56,favori,favori,0.21658986175115208,0.783410138248848
15970,1.926,1.98,challenger,challenger,0.5595279416869142,0.4404720583130857
15971,1.235,4.85,challenger,favori,0.287900612171408,0.7120993878285921
15972,1.641,2.46,favori,favori,0.16276041666666666,0.8372395833333334
15973,1.61,2.54,favori,favori,0.4552306300874284,0.5447693699125716
15974,3.86,1.3159999999999998,favori,favori,0.4552306300874284,0.5447693699125716
15975,1.355,3.62,favori,challenger,0.7666666666666667,0.23333333333333334
15976,4.75,1.241,challenger,favori,0.287900612171408,0.7120993878285921
15977,1.82,2.12,challenger,favori,0.287900612171408,0.7120993878285921
15978,1.538,2.76,challenger,favori,0.4552306300874284,0.5447693699125716
15979,1.358,3.59,favori,favori,0.16276041666666666,0.8372395833333334
15980,3.21,1.415,challenger,favori,0.47556142668428003,0.52443857331572
15981,2.76,1.538,challenger,favori,0.4552306300874284,0.5447693699125716
15982,1.442,3.06,favori,favori,0.16276041666666666,0.8372395833333334
15984,1.457,2.99,favori,favori,0.16276041666666666,0.8372395833333334
15985,1.133,7.81,challenger,favori,0.24712930604093858,0.7528706939590614
15986,2.68,1.5619999999999998,challenger,favori,0.47556142668428003,0.52443857331572
15987,2.46,1.641,favori,favori,0.39772357723577234,0.6022764227642277
15988,1.833,2.1,favori,favori,0.21658986175115208,0.783410138248848
15989,1.543,2.74,favori,favori,0.16276041666666666,0.8372395833333334
15991,1.147,7.2,favori,favori,0.287900612171408,0.7120993878285921
15992,1.6369999999999998,2.47,favori,favori,0.287900612171408,0.7120993878285921
15993,1.259,4.56,favori,favori,0.4552306300874284,0.5447693699125716
15994,1.321,3.82,favori,challenger,0.7666666666666667,0.23333333333333334
15995,2.75,1.541,favori,challenger,0.5595279416869142,0.4404720583130857
15997,1.239,4.79,favori,favori,0.24712930604093858,0.7528706939590614
15998,1.044,18.5,favori,favori,0.287900612171408,0.7120993878285921
15999,1.37,3.5,challenger,favori,0.47556142668428003,0.52443857331572
16000,1.467,2.94,favori,favori,0.287900612171408,0.7120993878285921
16002,1.769,2.2,challenger,favori,0.39772357723577234,0.6022764227642277
16003,1.568,2.66,favori,favori,0.287900612171408,0.7120993878285921
16004,1.278,4.3,favori,challenger,0.5595279416869142,0.4404720583130857
16005,1.1909999999999998,5.74,challenger,favori,0.4552306300874284,0.5447693699125716
